place,latitude,longitude,date,time,temperature,humidity,wind_speed,weather
Maseru,-29.31,27.48,2025-06-26,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-26,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-26,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-26,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-26,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-26,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-26,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-26,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-26,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-26,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-26,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-26,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-26,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-26,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-26,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-26,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-26,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-26,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-26,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-26,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-27,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-27,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-27,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-27,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-27,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-27,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-27,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-27,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-27,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-27,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-27,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-27,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-27,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-27,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-27,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-27,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-27,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-27,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-27,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-27,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-27,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-27,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-27,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-27,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-28,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-28,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-28,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-28,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-28,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-28,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-28,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-28,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-28,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-28,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-28,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-28,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-28,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-28,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-28,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-28,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-28,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-28,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-28,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-28,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-28,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-28,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-28,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-28,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-29,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-29,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-29,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-29,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-29,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-29,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-29,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-29,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-29,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-29,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-29,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-29,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-29,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-29,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-29,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-29,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-29,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-29,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-29,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-29,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-29,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-29,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-29,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-29,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-06-30,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-06-30,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-06-30,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-06-30,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-06-30,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-06-30,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-06-30,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-06-30,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-06-30,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-06-30,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-06-30,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-06-30,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-06-30,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-06-30,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-06-30,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-06-30,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-06-30,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-06-30,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-06-30,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-06-30,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-06-30,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-06-30,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-06-30,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-06-30,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-07-01,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-07-01,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-07-01,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-07-01,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-07-01,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-07-01,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-07-01,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-07-01,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-07-01,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-07-01,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-07-01,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-07-01,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-07-01,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-07-01,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-07-01,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-07-01,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-07-01,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-07-01,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-07-01,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-07-01,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-07-01,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-07-01,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-07-01,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-07-01,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-07-02,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-07-02,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-07-02,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-07-02,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-07-02,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-07-02,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-07-02,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-07-02,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-07-02,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-07-02,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-07-02,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-07-02,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-07-02,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-07-02,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-07-02,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-07-02,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-07-02,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-07-02,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-07-02,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-07-02,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-07-02,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-07-02,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-07-02,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-07-02,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-07-03,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-07-03,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-07-03,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-07-03,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-07-03,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-07-03,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-07-03,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-07-03,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-07-03,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-07-03,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-07-03,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-07-03,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-07-03,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-07-03,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-07-03,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-07-03,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-07-03,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-07-03,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-07-03,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-07-03,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-07-03,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-07-03,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-07-03,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-07-03,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-07-04,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-07-04,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-07-04,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-07-04,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-07-04,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-07-04,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-07-04,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-07-04,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-07-04,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-07-04,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-07-04,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-07-04,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-07-04,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-07-04,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-07-04,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-07-04,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-07-04,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-07-04,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-07-04,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-07-04,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-07-04,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-07-04,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-07-04,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-07-04,23:00,19,35,9,Rainy
Maseru,-29.31,27.48,2025-07-05,00:00,7,62,7,Partly Cloudy
Maseru,-29.31,27.48,2025-07-05,01:00,3,30,16,Sunny
Maseru,-29.31,27.48,2025-07-05,02:00,6,77,6,Windy
Maseru,-29.31,27.48,2025-07-05,03:00,16,38,14,Sunny
Maseru,-29.31,27.48,2025-07-05,04:00,4,45,17,Cloudy
Maseru,-29.31,27.48,2025-07-05,05:00,24,47,10,Sunny
Maseru,-29.31,27.48,2025-07-05,06:00,19,37,12,Sunny
Maseru,-29.31,27.48,2025-07-05,07:00,19,61,6,Snowy
Maseru,-29.31,27.48,2025-07-05,08:00,-1,52,12,Cloudy
Maseru,-29.31,27.48,2025-07-05,09:00,8,53,13,Snowy
Maseru,-29.31,27.48,2025-07-05,10:00,-1,59,9,Snowy
Maseru,-29.31,27.48,2025-07-05,11:00,24,54,19,Cloudy
Maseru,-29.31,27.48,2025-07-05,12:00,18,53,12,Cloudy
Maseru,-29.31,27.48,2025-07-05,13:00,14,69,16,Sunny
Maseru,-29.31,27.48,2025-07-05,14:00,15,50,16,Partly Cloudy
Maseru,-29.31,27.48,2025-07-05,15:00,1,35,12,Cloudy
Maseru,-29.31,27.48,2025-07-05,16:00,3,68,17,Sunny
Maseru,-29.31,27.48,2025-07-05,17:00,-4,74,6,Windy
Maseru,-29.31,27.48,2025-07-05,18:00,16,76,11,Sunny
Maseru,-29.31,27.48,2025-07-05,19:00,8,37,14,Rainy
Maseru,-29.31,27.48,2025-07-05,20:00,16,30,9,Cloudy
Maseru,-29.31,27.48,2025-07-05,21:00,-5,66,15,Cloudy
Maseru,-29.31,27.48,2025-07-05,22:00,20,54,16,Sunny
Maseru,-29.31,27.48,2025-07-05,23:00,19,35,9,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,00:00,16,74,6,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,01:00,-2,59,14,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,02:00,11,58,5,Windy
Butha-Buthe,-28.77,28.25,2025-06-22,03:00,3,79,19,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,04:00,7,46,12,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,05:00,9,31,14,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,06:00,10,40,16,Windy
Butha-Buthe,-28.77,28.25,2025-06-22,07:00,7,38,5,Snowy
Butha-Buthe,-28.77,28.25,2025-06-22,08:00,-2,78,12,Windy
Butha-Buthe,-28.77,28.25,2025-06-22,09:00,20,74,18,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,10:00,4,61,15,Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,11:00,8,70,6,Sunny
Butha-Buthe,-28.77,28.25,2025-06-22,12:00,3,45,7,Snowy
Butha-Buthe,-28.77,28.25,2025-06-22,13:00,19,44,19,Snowy
Butha-Buthe,-28.77,28.25,2025-06-22,14:00,12,69,16,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,15:00,12,70,11,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,16:00,-3,73,18,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,17:00,0,65,14,Snowy
Butha-Buthe,-28.77,28.25,2025-06-22,18:00,21,75,16,Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,19:00,0,59,10,Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,20:00,6,65,13,Cloudy
Butha-Buthe,-28.77,28.25,2025-06-22,21:00,15,73,10,Windy
Butha-Buthe,-28.77,28.25,2025-06-22,22:00,21,70,16,Rainy
Butha-Buthe,-28.77,28.25,2025-06-22,23:00,22,71,12,Sunny
Butha-Buthe,-28.77,28.25,2025-06-23,00:00,16,74,6,Rainy
Butha-Buthe,-28.77,28.25,2025-06-23,01:00,-2,59,14,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-23,02:00,11,58,5,Windy
Butha-Buthe,-28.77,28.25,2025-06-23,03:00,3,79,19,Rainy
Butha-Buthe,-28.77,28.25,2025-06-23,04:00,7,46,12,Rainy
Butha-Buthe,-28.77,28.25,2025-06-23,05:00,9,31,14,Partly Cloudy
Butha-Buthe,-28.77,28.25,2025-06-23,06:00,10,40,16,Windy
Butha-Buthe,-28.77,28.25,2025-06-23,07:00,7,38,5,Snowy
Butha-Buthe,-28.77,28.25,2025-06-23,08:00,-2,78,12,Windy
Butha-Buthe,-28.77,28.25,2025-06-23,09:00,20,74,18,Rainy
Butha-Buthe,-28.77,28.25,2025-06-23,10:00,4,61,15,Cloudy
Butha-Buthe,-28.77,28.25,2025-06-23,11:00,8,70,6,Sunny
Butha-Buthe,-28.77,28.25,2025-06-23,12:00,3,45,7,Snowy
Butha-Buthe,-28.77,28.25,2025-06-23,13:00,19,44,19,Snowy
Butha-Buthe,-28.77,28.25,2025-06-23,14:00,12,69,16,Partly Cloudy
